customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
4364-GBIVU,female,no,no,yes,53,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,39.15,2214.19,no
1917-FVLZI,male,no,no,yes,68,yes,yes,dsl,no,yes,no,no,yes,no,month-to-month,yes,electronic check,81.14,5468.09,no
5127-XXMUF,male,no,yes,no,58,yes,no,dsl,no,yes,no,no,yes,no,month-to-month,yes,electronic check,69.5,4078.1,no
6162-VFKDS,male,no,no,no,7,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),44.4,310.41,no
1693-ZLEEZ,female,no,yes,yes,4,yes,no,fiber optic,no,yes,yes,no,no,no,one year,yes,credit card (automatic),91.56,375.87,yes
4009-PDYHC,female,no,no,no,14,yes,no,dsl,no,yes,yes,yes,yes,no,one year,no,credit card (automatic),80.77,1141.36,yes
7045-KUIIR,female,no,no,no,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,36.09,585.96,yes
7086-MHWVR,female,no,no,no,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),40.11,335.85,no
8904-WUULN,male,no,yes,no,17,yes,no,dsl,no,yes,yes,no,yes,no,month-to-month,no,bank transfer (automatic),80.34,1327.82,no
9891-XGADL,male,no,yes,no,64,yes,yes,dsl,yes,no,yes,yes,no,yes,one year,no,electronic check,88.84,5333.73,no
3388-OVWPL,male,no,no,yes,56,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),33.74,1876.32,no
2806-FIYVT,female,no,no,no,43,yes,yes,dsl,yes,yes,yes,no,yes,yes,month-to-month,yes,electronic check,95.79,3870.96,no
3563-LJAJA,female,no,no,no,39,no,no phone service,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,69.13,2513.82,yes
7609-TOZTC,female,no,yes,yes,16,yes,yes,dsl,yes,no,yes,no,no,no,one year,no,electronic check,82.45,1352.34,no
3242-TUBRD,female,no,yes,no,42,yes,yes,fiber optic,no,no,yes,no,yes,no,one year,yes,credit card (automatic),103.32,4468.49,no
8255-YDYXY,female,no,yes,yes,50,yes,no,fiber optic,no,no,no,yes,no,no,two year,no,mailed check,87.61,4196.07,no
1378-TFHGE,male,no,yes,yes,65,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),46.25,3169.36,no
8202-URHAT,female,no,no,no,55,no,no phone service,dsl,no,no,no,yes,no,no,month-to-month,yes,electronic check,49.82,2952.01,no
6357-SZMDA,female,no,yes,yes,48,yes,no,fiber optic,yes,no,yes,no,no,no,one year,no,electronic check,94.05,4678.54,no
7297-EVFHH,male,no,no,no,29,yes,no,dsl,yes,no,no,yes,yes,yes,two year,no,electronic check,86.38,2420.28,no
6458-IHEEF,male,yes,yes,no,49,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),81.47,3692.66,no
5856-LACEQ,male,no,yes,no,16,yes,yes,fiber optic,no,yes,yes,yes,no,no,month-to-month,yes,mailed check,104.48,1660.63,yes
6644-EPDTL,male,no,yes,no,62,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,no,bank transfer (automatic),87.13,5451.53,yes
9635-PYRYY,female,no,yes,no,31,yes,no,dsl,no,yes,no,yes,yes,no,one year,no,mailed check,82.6,2588.95,no
9613-FSSJQ,female,no,yes,yes,14,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),40.27,586.44,no
2290-UHWHM,male,no,no,no,2,yes,no,fiber optic,no,yes,no,no,no,yes,two year,yes,electronic check,93.16,188.98,yes
1338-NKNIT,female,no,no,yes,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,electronic check,36.37,369.32,no
4348-ZBQSI,male,yes,yes,no,47,yes,no,fiber optic,no,no,yes,yes,no,yes,two year,yes,mailed check,100.53,4934.08,no
8002-SUEWH,male,no,yes,no,4,yes,no,dsl,no,no,no,no,no,no,one year,no,electronic check,64.1,261.47,yes
6914-CQNKG,female,no,no,no,3,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,credit card (automatic),62.0,193.88,yes
7482-MUHAB,female,no,no,no,13,yes,no,fiber optic,no,no,yes,no,no,no,one year,no,credit card (automatic),86.43,1037.68,yes
6453-UHTCK,female,no,yes,yes,0,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,36.5, ,no
9411-SSFSJ,male,no,yes,no,29,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,63.77,1937.02,no
4507-XOEWS,male,no,no,no,8,yes,no,dsl,no,yes,yes,no,yes,no,one year,yes,electronic check,76.54,656.54,no
6394-JTAAA,male,no,no,yes,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,94.3,301.18,yes
8870-YWTHB,male,no,no,no,34,yes,no,dsl,no,no,yes,no,yes,yes,two year,yes,electronic check,79.79,2690.8,no
3265-TGTAV,male,yes,yes,no,0,yes,yes,fiber optic,yes,no,no,no,no,no,one year,yes,bank transfer (automatic),93.22, ,yes
8240-UXUPA,male,no,no,yes,17,yes,yes,dsl,no,no,no,no,yes,no,month-to-month,no,credit card (automatic),78.84,1216.01,yes
2378-GZRUF,male,no,yes,yes,43,yes,no,dsl,no,yes,no,yes,yes,no,month-to-month,yes,mailed check,81.09,3453.68,no
8106-GBGEV,female,no,no,no,2,yes,yes,dsl,yes,no,yes,no,yes,no,one year,yes,mailed check,86.96,170.49,no
3292-VDHUU,female,no,yes,yes,15,yes,no,fiber optic,no,yes,yes,yes,yes,no,month-to-month,yes,mailed check,104.28,1547.87,no
5284-PJAUW,female,yes,no,no,11,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,84.74,875.38,yes
2964-RJFVI,female,no,yes,yes,8,yes,yes,fiber optic,yes,yes,no,yes,no,yes,two year,yes,credit card (automatic),114.97,868.61,no
2176-DQDDK,male,no,no,no,0,yes,yes,dsl,no,no,yes,yes,no,no,one year,yes,credit card (automatic),80.28, ,no
7127-PSIYS,female,no,yes,no,62,yes,no,dsl,yes,no,yes,no,no,yes,month-to-month,no,credit card (automatic),81.9,5104.07,no
3291-VIMGJ,male,no,no,no,45,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card (automatic),36.47,1674.26,no
6837-FHLAW,female,no,yes,no,35,no,no phone service,dsl,yes,no,no,yes,yes,no,month-to-month,no,electronic check,59.54,1963.63,no
4249-LXIKP,male,yes,no,no,45,yes,no,fiber optic,no,no,no,yes,no,yes,one year,no,bank transfer (automatic),91.91,4272.54,no
5039-RARQP,female,yes,no,yes,17,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,76.53,1276.64,yes
5339-PIZRT,male,no,no,yes,14,yes,yes,dsl,yes,yes,no,no,no,yes,one year,no,bank transfer (automatic),87.23,1178.43,no
1330-HSSTK,male,no,yes,no,47,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,81.14,3842.69,no
7616-GOMWI,male,no,no,no,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,electronic check,123.6,8618.62,yes
